adm3_pcode,adm1_name,adm2_name,adm3_name,flood_label,area_km2,centroid_lon,centroid_lat,chirps_monthly_mean_mm,chirps_monthly_max_mm,chirps_total_mm_available_period,chirps_mean_annual_total_mm,chirps_max_annual_total_mm,chirps_mean_monsoon_total_mm,chirps_max_monsoon_total_mm,chirps_latest_12_month_total_mm,chirps_latest_12_month_mean_mm,elevation_mean_m,elevation_min_m,elevation_max_m,elevation_range_m,elevation_std_m,slope_mean_degrees,slope_max_degrees,aspect_mean_degrees,aspect_sin_mean,aspect_cos_mean,nearest_river_distance_km,river_length_km,river_density_km_per_km2,river_intersection_count,hybas_dist_sink,hybas_dist_main,hybas_sub_area_km2,hybas_up_area_km2,landcover_tiles_used_count,lc_10_tree_cover_percent,lc_20_shrubland_percent,lc_30_grassland_percent,lc_40_cropland_percent,lc_50_built_up_percent,lc_60_bare_sparse_vegetation_percent,lc_70_snow_and_ice_percent,lc_80_permanent_water_bodies_percent,lc_90_herbaceous_wetland_percent,lc_100_moss_and_lichen_percent,dominant_landcover_percent,landcover_classes_over_5_percent,worldpop_population_sum,worldpop_population_density_per_km2,worldpop_population_mean_pixel_value,worldpop_population_max_pixel_value,osm_road_length_km,osm_major_road_length_km,osm_road_segment_count,osm_road_density_km_per_km2,osm_major_road_density_km_per_km2,osm_building_count,osm_building_footprint_area_km2,osm_building_density_per_km2,osm_building_footprint_percent,osm_place_count,osm_place_density_per_km2,osm_nearest_place_distance_km
NP0331408,Bagmati,Makwanpur,Bagmati,0,311.6482825,85.39781,27.3047095,155.0446984,720.9381348,21086.07898,1757.173248,2351.700009,1522.098039,1865.421451,1912.979675,159.4149729,426.8508257,138.5,1268.431396,1129.931396,175.7218646,16.91503482,66.83119792,67.60610392,0.1426192,0.058765618,0.749222463,105.805236,0.339502067,45,945.6,945.6,120,120,1,79.81398332,0.173187941,2.973059654,13.64656831,0.080179602,2.924951892,0,0.388069275,0,0,79.81398332,2,21365.54032,68.55657971,31.55914376,1439.844116,424.2494142,34.42807903,1104,1.361308366,0.110470941,9324,0.508616994,29.91834232,0.163202245,29,0.093053617,1.725625544
NP0331595,Bagmati,Makwanpur,Parsa,0,98.21382425,84.77119088,27.49514622,150.7898441,719.0649109,20507.41879,1708.951566,2324.974364,1454.483046,1833.882492,1817.622792,151.468566,411.4696278,240.9515381,768.5645142,527.6129761,134.1030029,9.332873156,47.35234831,347.1589201,-0.052002316,0.228131828,0.999156017,63.29461716,0.644457312,26,1231.9,1231.9,108.8,1214.1,1,80.03438859,0.576514615,2.245372712,12.6024072,0.020228583,3.226458987,0,1.294629311,0,0,80.03438859,2,387.552,3.946002541,2.029068063,35.09102249,160.4500786,5.243068244,499,1.633681204,0.053384218,2099,0.077927911,21.37173678,0.079345155,4,0.040727464,5.274120709
NP0331597,Bagmati,Makwanpur,Chitawan,0,65.19690509,84.70613089,27.49253129,152.6503637,741.6602783,20760.44947,1730.037456,2367.233406,1484.369565,1882.522141,1824.265794,152.0221495,410.1279946,230.2979889,676.0076294,445.7096405,119.0634318,10.16709048,46.90422521,346.7197286,-0.046649591,0.197645612,1.223754832,33.99902898,0.521482253,9,1205.6,1205.6,291.1,1691.7,1,95.60608388,0.046090029,0.783530496,1.920417883,0,1.198340759,0,0.445536949,0,0,95.60608388,1,0,0,0,0,7.822381343,0,12,0.119980869,0,10,0.000504536,0.153381514,0.000773865,0,0,6.858645803
NP0335101,Bagmati,Chitawan,Bharatpur,1,433.3961911,84.38395163,27.65280442,142.6503913,657.0037124,19400.45321,1616.704434,2165.393263,1420.136669,1766.466745,1625.947202,135.4956002,239.1253052,141,1184.424561,1043.424561,157.0183403,5.779048537,62.48729316,234.0363604,-0.076931639,-0.05581955,1.620982194,165.2886608,0.38138005,59,1183.3,1183.3,210,31855.4,1,51.27594656,0.367528085,0.841385049,39.49886737,5.871203366,0.464610975,0,1.678147104,0.002311497,0,51.27594656,3,239832.2785,553.3788332,29.11999496,268.2512817,2490.867465,226.9338317,9387,5.747322003,0.523617504,124850,10.40236435,288.0735977,2.400197455,116,0.267653483,1.152256623
NP0335301,Bagmati,Chitawan,Kalika,1,149.1899718,84.58609486,27.70970218,148.2233205,636.2060425,20158.37159,1679.864299,2188.744567,1433.41561,1700.953448,1800.721377,150.0601147,562.7816968,196.5376587,1907.401855,1710.864197,358.303194,18.68099929,70.87261514,231.0964998,-0.201213308,-0.162378968,0.409725213,75.73016416,0.507608945,26,1205.9,1205.9,199.6,199.6,1,83.37674481,0.247111467,1.736458959,13.15701596,1.248914713,0.233754091,0,0,0,0,83.37674481,2,21057.61816,141.1463378,36.18147449,143.1726379,544.9093271,23.52655267,1326,3.652452778,0.157695269,20367,1.039206917,136.5172186,0.696566199,4,0.026811454,5.224263109
NP0335302,Bagmati,Chitawan,Ratnanagar,0,68.73261569,84.51381789,27.61906812,129.8487626,568.4959717,17659.43171,1471.61931,1945.225658,1291.286913,1582.591415,1545.559453,128.7966211,197.3995985,176,248.9991913,72.99919128,12.88497199,1.611558482,23.37754668,222.0306854,-0.12283389,-0.136274014,0.075579673,36.26267832,0.527590547,20,1205.9,1205.9,199.6,199.6,1,33.71387283,0.072254335,0.751445087,56.82080925,7.341040462,0.419075145,0,0.88150289,0,0,56.82080925,3,59968.20065,872.4853557,48.51796169,248.8435211,456.7847642,44.94262155,1511,6.645822505,0.6538762,29718,2.060884258,432.3711487,2.998408016,15,0.218237002,0.328136232
NP0335303,Bagmati,Chitawan,Khairahani,0,85.61932954,84.57106509,27.60567227,137.835203,611.9639771,18745.5876,1562.1323,2086.172399,1347.849708,1669.440881,1679.806462,139.9838718,221.9441749,183.219986,689.6902466,506.4702606,66.43341913,3.531556805,41.1041614,234.9228751,-0.150629664,-0.105774482,0.525909403,51.39500484,0.600273386,13,1205.9,1205.9,199.6,199.6,1,37.40350877,0.105263158,1.040935673,55.91812865,4.292397661,0.65497076,0,0.573099415,0.011695906,0,55.91812865,2,50447.09835,589.2022119,55.74265011,366.6500854,432.3276656,31.45589999,1349,5.04941662,0.367392505,23996,1.569554461,280.2638158,1.833177705,9,0.10511645,0.571195383
NP0335304,Bagmati,Chitawan,Rapti,0,212.4284267,84.689523,27.6493212,144.6832418,608.3418198,19676.92089,1639.743408,2133.590676,1392.476184,1655.826145,1824.573561,152.0477968,619.9888402,202.6090546,1929.687012,1727.077957,389.8591576,20.06868575,66.68664502,209.1044535,-0.099388048,-0.178532422,1.482824238,95.06662879,0.447523103,41,1205.4,1205.4,127.8,127.8,1,78.76786641,0.132081702,1.750082551,17.89235341,1.099108449,0.325487051,0,0.028303222,0.004717204,0,78.76786641,2,46799.22094,220.3058304,70.90791051,3058.934082,629.3163395,60.2139846,1653,2.962486468,0.2834554,20938,1.19257032,98.56496291,0.56139865,9,0.042367211,5.299430564
NP0335305,Bagmati,Chitawan,Madi,1,218.4729536,84.37108413,27.42056843,146.4260005,768.911499,19913.93607,1659.494673,2331.020033,1457.081454,1924.228861,1674.821641,139.5684701,322.932099,156,880.364624,724.364624,129.5553388,10.71476267,58.81736346,356.1038963,-0.016986763,0.249420789,0.230906099,94.47368421,0.432427367,42,1182.1,1182.1,173.6,336.1,1,71.46458859,0.27504011,2.379096952,22.73664909,0.760944304,1.989456796,0,0.37588815,0.018336007,0,71.46458859,2,32899.01107,150.5861963,247.3609855,963.3779907,383.8402356,27.99129002,1015,1.756923359,0.12812245,12423,0.646825423,56.86287384,0.29606659,5,0.022886128,1.724275621
NP0335401,Bagmati,Chitawan,Ichchha Kamana,1,166.8505861,84.59112698,27.80258321,134.1347117,519.9664917,18242.32079,1520.193399,1964.556441,1245.762273,1468.028309,1618.770488,134.8975407,979.6174169,212,1920.002563,1708.002563,405.7375444,31.26715276,69.62585509,351.9996609,-0.012978453,0.092342527,0.055408358,60.35110493,0.361707479,24,1227.4,1227.4,112.6,16846.6,1,91.42874209,0.489786167,4.312507466,2.466849839,0.310596106,0.274758093,0,0.716760244,0,0,91.42874209,1,12531.60312,75.10673722,23.86972023,589.7480469,400.4344229,27.41802438,978,2.399958144,0.164326809,8286,0.323573473,49.66119806,0.193930079,9,0.053940476,3.677382715
NP0335597,Bagmati,Chitawan,Chitawan,0,907.1183899,84.34101858,27.51162335,146.8506144,746.7238307,19971.68355,1664.306963,2293.175678,1465.252528,1897.554482,1666.333016,138.8610847,298.6198641,110,746.7330933,636.7330933,140.7665414,9.522237273,65.41176,329.6621322,-0.05286741,0.090334618,1.97180058,419.4101255,0.462354341,151,1187.6,1187.6,202.1,2382.6,2,91.60134255,0.155673814,0.734206284,3.212842538,0.00110407,1.386711418,0,2.898182701,0.009936626,0,91.60134255,1,11462.83588,12.63653786,60.01484752,120.7758255,289.2249647,16.85482105,404,0.318839269,0.018580619,377,0.028788354,0.415601761,0.003173605,4,0.004409568,4.3674617
NP0436301,Gandaki,Gorkha,Palungtar,0,158.7516603,84.50603965,28.01024308,134.9297654,547.6972307,18350.44809,1529.204008,1940.211691,1240.094436,1496.248182,1614.615507,134.5512922,631.5240332,337,1435.801514,1098.801514,183.7684554,17.68931316,56.01036948,204.1430766,-0.061298968,-0.136759617,1.597561178,72.4091501,0.45611586,35,1258.5,1258.5,155.9,471.3,1,73.84894109,0,9.083525957,15.71187605,0.356094209,0.156181671,0,0.843381021,0,0,73.84894109,3,11128.22834,70.09834305,445.1291338,1533.13208,991.3398012,34.85373318,3182,6.244594855,0.219548779,23115,1.270031795,145.6047764,0.800011661,23,0.144880375,1.303014214
NP0436302,Gandaki,Gorkha,Gorkha,1,131.9574472,84.59919962,27.98285398,135.7477485,545.1038574,18461.6938,1538.474483,1924.673285,1247.639412,1483.629785,1656.427242,138.0356035,725.2886575,268.3476868,1520.724976,1252.377289,242.5523374,21.17026601,62.28948832,248.9295546,-0.119018247,-0.0458548,0.17780148,59.27305179,0.449183074,30,1247.4,1247.4,147.8,619.4,1,83.11131181,0.007526153,4.997365846,9.114171747,1.264393768,0.57951381,0,0.925716866,0,0,83.11131181,2,5281.057372,40.02091193,62.86973062,803.6748657,674.0974473,65.7848113,1890,5.108445653,0.498530494,21167,1.119830278,160.4077713,0.848629844,16,0.121251209,1.514316061
