adm3_pcode,adm1_name,adm2_name,adm3_name,flood_label,area_km2,centroid_lon,centroid_lat,chirps_monthly_mean_mm,chirps_monthly_max_mm,chirps_total_mm_available_period,chirps_mean_annual_total_mm,chirps_max_annual_total_mm,chirps_mean_monsoon_total_mm,chirps_max_monsoon_total_mm,chirps_latest_12_month_total_mm,chirps_latest_12_month_mean_mm,elevation_mean_m,elevation_min_m,elevation_max_m,elevation_range_m,elevation_std_m,slope_mean_degrees,slope_max_degrees,aspect_mean_degrees,aspect_sin_mean,aspect_cos_mean,nearest_river_distance_km,river_length_km,river_density_km_per_km2,river_intersection_count,hybas_dist_sink,hybas_dist_main,hybas_sub_area_km2,hybas_up_area_km2,landcover_tiles_used_count,lc_10_tree_cover_percent,lc_20_shrubland_percent,lc_30_grassland_percent,lc_40_cropland_percent,lc_50_built_up_percent,lc_60_bare_sparse_vegetation_percent,lc_70_snow_and_ice_percent,lc_80_permanent_water_bodies_percent,lc_90_herbaceous_wetland_percent,lc_100_moss_and_lichen_percent,dominant_landcover_percent,landcover_classes_over_5_percent,worldpop_population_sum,worldpop_population_density_per_km2,worldpop_population_mean_pixel_value,worldpop_population_max_pixel_value,osm_road_length_km,osm_major_road_length_km,osm_road_segment_count,osm_road_density_km_per_km2,osm_major_road_density_km_per_km2,osm_building_count,osm_building_footprint_area_km2,osm_building_density_per_km2,osm_building_footprint_percent,osm_place_count,osm_place_density_per_km2,osm_nearest_place_distance_km
NP0101301,Koshi,Taplejung,Phungling,1,125.0904565,87.71192263,27.38089662,159.2533486,548.3089701,21658.45541,1804.871284,2126.188172,1525.204448,1773.261627,2131.870922,177.6559102,1840.70472,538.7490234,3792.382568,3253.633545,657.2129122,26.39537868,65.08609294,287.7065856,-0.231552935,0.073927294,0.915902714,43.88842258,0.350853485,22,923.2,923.2,280.7,2078,1,83.84658232,0,15.07121827,0.143232275,0.350123339,0.127317578,0,0.461526219,0,0,83.84658232,2,13042.99261,104.2684868,157.1444893,1454.526367,316.2485037,21.95717367,422,2.528158523,0.175530366,8122,0.472886837,64.92901399,0.378035903,59,0.471658683,0.489154525
NP0101401,Koshi,Taplejung,Phaktanlung,1,1851.011109,87.89689923,27.70286473,117.2820571,509.7975355,15950.35977,1329.196647,1552.11811,1122.026462,1244.126791,1541.675388,128.472949,4538.562634,837.5011597,8553.610352,7716.109192,1265.207133,31.41478906,81.0206177,189.0798398,-0.014891871,-0.093182996,0.523145612,601.7855298,0.325111787,283,951.9,951.9,471.2,746.3,1,23.82485964,0,14.69931861,0.009186061,0,19.46472282,30.78249029,0.41229203,0,10.80713054,30.78249029,5,1670.268396,0.902354604,185.5853774,1506.932007,452.4276764,0,447,0.244421913,0,3419,0.187706418,1.847098585,0.01014075,57,0.03079398,6.074782832
NP0101402,Koshi,Taplejung,Mikwakhola,0,441.3382794,87.62769468,27.58343189,129.3589997,540.1032837,17592.82396,1466.068664,1756.251047,1204.285291,1372.134634,1687.618981,140.6349151,3530.944187,659.2775879,5771.32666,5112.049072,1075.928525,30.16302216,73.5132649,209.5848798,-0.087606208,-0.154309618,1.32942356,146.4823056,0.331904828,77,935.9,935.9,339.8,339.8,1,53.4330787,0,16.71563531,0.004520183,0,9.19405144,1.857795055,0.650906297,0,18.14401302,53.4330787,4,0,0,0,0,108.90442,0,94,0.246759516,0,2024,0.106019664,4.586051323,0.024022313,45,0.101962604,5.773311106
NP0101403,Koshi,Taplejung,Sirijanga,1,479.109261,87.94627072,27.47591261,128.2714092,480.1829071,17444.91165,1453.742638,1689.29679,1225.76207,1394.973245,1716.842016,143.070168,3383.860146,748.800293,8494.299805,7745.499512,1417.815507,31.77000398,74.28066186,235.9857099,-0.118256332,-0.079807823,0.208007576,177.8882049,0.371289431,71,947.3,947.3,168.6,168.7,1,56.72677128,0,12.88731953,0.004178768,0,8.81302104,12.00142078,0.142078101,0,9.425210505,56.72677128,5,488.9375681,1.020513707,4.040806348,8.735971451,233.1175348,6.200116977,198,0.486564452,0.012940925,5554,0.285749938,11.59234532,0.059641915,78,0.162802113,2.884126805
NP0101404,Koshi,Taplejung,Meringden,1,209.5804126,87.54492331,27.4653726,147.7313612,523.9359779,20091.46512,1674.28876,1993.669179,1360.730524,1507.225117,1960.952879,163.4127399,2633.888304,634.3582764,4687.342773,4052.984497,938.0144367,30.64413026,70.41768303,100.8794552,0.296672609,-0.057019823,0.784910991,78.8378063,0.376169726,37,935.7,935.7,146.3,146.4,1,77.38894444,0,17.81174118,0.019044898,0.023806123,0.219016331,0.004761225,0.133314288,0,4.399371518,77.38894444,2,0,0,0,0,125.3155023,0,140,0.597935183,0,2889,0.155671988,13.78468515,0.074277928,59,0.281514858,3.365592096
NP0101405,Koshi,Taplejung,Maiwakhola,1,137.3407459,87.51318682,27.37356638,139.3120701,471.6578598,18946.44153,1578.870128,1883.341166,1260.060862,1403.606483,1899.018209,158.2515174,2287.853343,700.2410278,4436.004395,3735.763367,695.7810399,27.83093948,63.42896406,52.53122495,0.324643809,0.248826979,0.867026281,37.68841693,0.274415409,13,922.1,922.1,198.1,198.1,1,79.49317169,0,19.85686117,0.240999051,0,0.175272037,0,0,0,0.233696049,79.49317169,2,0,0,0,0,120.2755342,0,89,0.875745456,0,2882,0.15864626,20.98430426,0.115512887,44,0.320371057,0.437347165
NP0101406,Koshi,Taplejung,Aatharai Tribeni,1,88.50217603,87.61926369,27.30950115,137.9744797,495.6617228,18764.52924,1563.71077,1823.705425,1264.808348,1487.78948,1883.686181,156.9738484,1532.070336,495,2938.453613,2443.453613,541.1211315,24.75162846,64.33494783,57.02921806,0.377296563,0.244745798,1.131372183,17.54556651,0.198250114,10,909.4,909.4,112.7,2969.9,1,82.61211644,0,15.5220861,1.449926942,0,0.056198719,0,0.359671799,0,0,82.61211644,2,0,0,0,0,161.76867,0,109,1.827849633,0,4806,0.265353557,54.30374953,0.299827155,55,0.621453646,0.1871472
NP0101407,Koshi,Taplejung,Pathivara Yangwarak,0,92.40500433,87.75239723,27.31524053,135.7122299,465.3353475,18456.86327,1538.071939,1812.718651,1270.812675,1519.817301,1841.229588,153.435799,1480.180755,511.1878662,2844.475342,2333.287476,510.0485657,30.06965055,68.20212686,192.8564557,-0.054452259,-0.238584127,1.158218566,36.96965628,0.400082837,15,916.8,916.8,106.5,106.6,1,75.67333694,0,23.69929692,0.194699838,0.010816658,0.248783126,0,0.173066522,0,0,75.67333694,2,2165.923442,23.43946042,25.78480288,46.07123947,178.0622891,9.024655754,211,1.926976687,0.097664145,4957,0.227887112,53.6442808,0.246617716,65,0.703425106,0.079655181
NP0101408,Koshi,Taplejung,Sidingba,1,205.1467138,87.94162809,27.35221122,130.2440353,462.4040782,17713.1888,1476.099067,1716.015099,1250.998622,1470.303001,1758.4684,146.5390334,2388.020712,712.6199951,4651.896973,3939.276978,813.9529863,33.03145939,74.0386038,241.8135803,-0.158124417,-0.084737321,1.54854775,67.85654688,0.330770821,36,934.7,934.7,112.7,112.8,1,78.17340477,0,20.69654165,0.048709206,0,0.32148076,0,0.07793473,0,0.681928885,78.17340477,2,6.906256199,0.033664961,3.453128099,3.457484245,140.3450067,0,167,0.68412018,0,3699,0.195404195,18.03099807,0.095250951,61,0.29734817,2.764255343
NP0102301,Koshi,Panchthar,Phidim,1,191.7389863,87.79926982,27.11684446,147.882125,552.090223,20111.969,1675.997416,2018.674517,1371.456798,1688.093946,1974.08724,164.50727,1640.244863,408.5,3193.041748,2784.541748,584.0802393,27.74366454,69.00923677,317.3237001,-0.186906416,0.202716726,0.960126067,77.29921929,0.403148159,28,894.1,894.1,111.2,111.2,1,80.82320905,0,15.38542103,3.414327608,0.308965228,0.015710096,0,0.052366988,0,0,80.82320905,2,14748.14122,76.91780115,254.2782969,634.430481,588.6967748,70.07828408,629,3.070302948,0.365487924,20731,0.942336544,108.120943,0.491468408,20,0.104308468,2.584149556
NP0102401,Koshi,Panchthar,Hilihan,1,122.53455,87.76258172,27.22132223,135.2647989,470.9513916,18396.01265,1533.001054,1820.411413,1231.51594,1501.240094,1833.173172,152.764431,1159.512825,416.5,2504.78833,2088.28833,414.1488586,27.04229643,66.95894262,238.6971952,-0.220603665,-0.134143923,0.284901001,24.32849707,0.198543978,10,887.5,887.5,169.1,4032.5,1,75.72174197,0,21.89691731,1.410862828,0.040776382,0.236503017,0,0.693198499,0,0,75.72174197,2,148.1225433,1.208822681,37.03063583,43.56109619,388.4919352,70.20726142,322,3.170468534,0.572958903,10496,0.452558821,85.65747372,0.369331606,23,0.187702162,1.800584032
NP0102402,Koshi,Panchthar,Yangbarak,1,207.4984229,87.95131371,27.28222594,131.8943494,467.9692307,17937.63152,1494.802627,1773.116465,1245.338789,1504.517498,1795.234814,149.6029012,2292.54598,612.8718262,4634.76416,4021.892334,799.2887453,29.90268587,68.87877331,325.6206159,-0.233074859,0.340660126,0.178698961,67.48389076,0.325226042,29,935.6,935.6,181,181,1,80.68835501,0,18.0693189,0.22236187,0.029003722,0.188524194,0,0.024169768,0,0.778266544,80.68835501,2,0,0,0,0,283.6149053,73.71644436,222,1.366829209,0.355262673,6005,0.293448525,28.939979,0.141422051,68,0.327713334,0.558628883
NP0102403,Koshi,Panchthar,Falelung,1,206.2895612,87.9264956,27.17318618,152.4265086,583.5657872,20730.00517,1727.500431,2102.009182,1415.772619,1767.202157,2049.150857,170.7625714,2256.711648,885.0131836,3587.5979,2702.584717,548.2486865,29.26100632,67.20285261,286.7530097,-0.130578621,0.039307185,1.354867701,70.01771056,0.339414705,33,894.1,894.1,238.3,238.3,1,85.52222869,0,14.03125607,0.441661813,0.004853427,0,0,0,0,0,85.52222869,2,0,0,0,0,393.5193424,32.43674837,381,1.907606668,0.157238923,11631,0.530171182,56.38191255,0.257003398,5,0.024237775,2.108644179
NP0102404,Koshi,Panchthar,Kummayak,0,128.8196565,87.6301595,27.06792715,132.7466477,526.7303284,18053.54409,1504.462007,1780.297533,1247.917082,1487.681946,1754.372941,146.1977451,1094.547283,351,2357.281494,2006.281494,357.115208,26.12057338,60.98934669,274.221301,-0.168771098,0.012456859,2.047407467,30.31535205,0.235331726,9,867.3,867.3,44.4,4958.5,1,65.84320449,0,25.05455112,8.268391521,0.007793017,0.187032419,0,0.639027431,0,0,65.84320449,3,42.68193054,0.331330883,42.68193054,42.68193054,316.2999122,83.02078901,267,2.455369939,0.644472988,2484,0.149257026,19.28277149,0.115865102,6,0.046576743,1.693736064
NP0102405,Koshi,Panchthar,Falgunanda,1,107.1143616,87.73910455,27.04958043,139.9247627,595.6220703,19029.76773,1585.813977,1894.264209,1333.698662,1599.312309,1833.00824,152.7506867,1643.887273,605.0279541,2986.446533,2381.418579,424.4672159,25.66821903,58.47346811,313.7148661,-0.146681181,0.140244413,0.149562762,28.66396442,0.267601506,13,884.9,884.9,179.2,179.2,2,77.42085661,0,10.94040968,11.48044693,0.148975791,0.009310987,0,0,0,0,77.42085661,3,13076.79279,122.0825349,726.4884881,4595.61377,257.2877817,25.79791042,307,2.401991459,0.240844552,8253,0.336375783,77.04849171,0.314034251,9,0.084022346,3.905797173
NP0102406,Koshi,Panchthar,Tumbewa,0,116.9247729,87.57888915,26.9817836,142.913134,632.1629028,19436.18623,1619.682186,1935.493758,1353.878966,1560.861553,1895.961065,157.9967554,1125.622143,330.5,2205.324707,1874.824707,403.068008,27.09653063,61.2732884,283.9839447,-0.119618215,0.02978857,0.982124916,36.56983946,0.312763827,16,854.4,854.4,201.6,201.7,2,72.59475219,0.008574859,15.30612245,11.5331847,0.008574859,0.188646887,0,0.360144058,0,0,72.59475219,3,2503.441595,21.41070307,47.23474708,87.74159241,296.5897821,15.10630096,261,2.536586342,0.129196753,2870,0.150845086,24.54569659,0.129010373,1,0.008552508,1.362884802
NP0102407,Koshi,Panchthar,Miklajung,1,165.9923024,87.62542256,26.92420319,154.6849951,803.9411795,21037.15934,1753.096611,2145.442932,1484.166959,1689.577602,2002.564533,166.8803777,1487.329671,428.9341125,2407.444824,1978.510712,376.3390458,26.60734704,63.70399019,325.5816818,-0.125067553,0.182531339,0.714039953,65.67176623,0.395631395,30,854.4,854.4,201.6,201.7,2,86.77660988,0,4.729974628,8.35447626,0.126857557,0.006040836,0,0.006040836,0,0,86.77660988,2,10143.50695,61.1082972,123.7013042,1893.07373,401.6435183,44.3269426,512,2.419651469,0.267042158,13040,0.569949942,78.55785969,0.343359261,20,0.120487515,1.192744968
NP0103301,Koshi,Ilam,Deumai,1,191.0004635,87.82985371,26.92115829,148.0362958,784.63671,20132.93623,1677.744686,2036.894282,1429.406132,1695.619359,1890.931046,157.5775872,1230.137547,221.4395599,2831.416504,2609.976944,478.7555203,23.16322366,57.97713838,228.1923088,-0.165592351,-0.148096653,0.026789452,59.49375367,0.311484865,29,688.8,688.8,108.6,288.6,2,88.85172216,0,4.390320389,6.360737992,0.10975801,0.282234882,0,0.005226572,0,0,88.85172216,2,18068.37666,94.59860111,602.2792221,4951.390625,645.3228967,34.2620993,1030,3.37864571,0.179382284,19403,0.728914728,101.5861409,0.381629821,10,0.052355894,2.415746776
NP0103302,Koshi,Ilam,Illam,1,172.6068029,87.90859813,26.93125542,160.0813412,879.5078278,21771.06241,1814.255201,2234.074714,1567.53333,1886.784534,2007.773906,167.3144922,1205.803965,287,3046.988037,2759.988037,522.5701028,23.32020032,58.52882658,131.5990436,0.177991315,-0.158022771,0.23313579,67.30087952,0.389908615,24,714.2,714.2,223.3,223.3,2,89.96179229,0,3.797614913,5.019103856,0.526803288,0.688896608,0,0.005789047,0,0,89.96179229,2,36267.87933,210.1184815,294.8608075,2152.171143,822.0554736,81.87489022,1476,4.762590233,0.474343356,29733,1.219375006,172.258564,0.706446667,11,0.063728659,1.70312788
NP0103303,Koshi,Ilam,Suryodaya,1,224.5406388,88.06848929,26.89061482,178.8252727,990.4312592,24320.23709,2026.686424,2531.219338,1784.366296,2151.638885,2213.494096,184.4578413,1378.288773,301.7062683,2732.746826,2431.040558,368.4476568,22.64470402,57.94568411,196.6910471,-0.030356114,-0.101239669,1.281001312,72.7008589,0.323775951,28,714.2,714.2,153.5,153.5,2,96.51095346,0,1.030651854,2.105920671,0.298933655,0.053540356,0,0,0,0,96.51095346,1,38284.29561,170.5005197,239.2768476,1343.35022,944.721078,45.64202437,1714,4.207350095,0.203268436,33665,1.366811353,149.9283167,0.608714467,20,0.089070736,0.508588036
NP0103304,Koshi,Ilam,Mai,1,263.0398671,87.86792598,26.76671821,180.4577381,1049.780174,24542.25239,2045.187699,2421.765622,1786.558198,2018.16861,2179.989244,181.6657703,319.4100778,115,1407.075806,1292.075806,156.6802559,17.13345774,60.17110521,70.07880596,0.016542931,0.00599538,0.218930467,99.34379633,0.377675816,46,635,635,384.9,1329.2,1,85.66835094,0.003827898,1.381871076,9.435767876,0.080385852,3.165671413,0,0.264124943,0,0,85.66835094,2,24557.75626,93.36134682,314.8430289,2444.077881,619.265249,8.901788708,1072,2.354263846,0.033841975,15795,0.572083676,60.04793181,0.217489342,9,0.034215346,2.174606371
NP0103401,Koshi,Ilam,Fakfokathum,0,108.3692072,87.74916017,26.96559412,161.0431279,816.4515788,21901.8654,1825.15545,2249.78182,1558.439128,1818.819326,2051.316346,170.9430288,1430.60768,523.0388184,2273.046387,1750.007568,350.9883131,22.72118894,56.34535006,137.2096237,0.21766775,-0.235138999,0.449354753,32.42223844,0.299183129,15,699.4,699.4,180.2,180.2,2,81.19878464,0,7.973483105,10.74486696,0.073658043,0.009207255,0,0,0,0,81.19878464,3,16941.22008,156.3287258,564.7073359,2089.029785,339.9606194,16.35763898,611,3.13705921,0.150943607,11436,0.474238357,105.528132,0.437613571,4,0.036910854,1.353902036
NP0103402,Koshi,Ilam,Sandakpur,0,155.35734,87.95452991,27.05042951,155.4807421,741.1377869,21145.38092,1762.115077,2203.884527,1488.918378,1869.368093,2021.447767,168.4539806,2188.445201,983.7209473,3613.465576,2629.744629,462.4869755,28.05190086,59.43060294,185.2414196,-0.026353149,-0.287271391,0.655914312,55.78207435,0.359056575,26,714.2,714.2,223.3,223.3,2,88.2607572,0,10.71197829,0.988499806,0.025843132,0,0,0.012921566,0,0,88.2607572,2,0,0,0,0,519.1570446,0,1035,3.341696278,0,12577,0.447836009,80.95529959,0.288261893,18,0.115861922,0.714348313
NP0103403,Koshi,Ilam,Mai Jogmai,0,135.1849088,88.01241039,26.9622852,168.8357812,915.7611816,22961.66624,1913.472186,2401.625659,1672.033656,2053.726202,2110.639193,175.8865994,1634.711677,502.7809448,3075.690674,2572.909729,539.6731029,24.03684851,58.67423109,212.2094629,-0.139988282,-0.222216219,0.716121742,45.50449095,0.336609251,22,714.2,714.2,223.3,223.3,2,91.2462908,0,5.185459941,3.345697329,0.044510386,0.178041543,0,0,0,0,91.2462908,2,11349.37624,83.95446163,420.347268,1326.598145,411.8728277,6.458893229,731,3.046736736,0.047778212,12761,0.798338656,94.39663138,0.59055309,1,0.007397275,1.184214307
NP0103404,Koshi,Ilam,Chulachuli,1,108.0449995,87.72247559,26.74743401,180.3183468,1007.97926,24523.29516,2043.60793,2453.763544,1762.793145,1974.703491,2147.576281,178.9646901,458.4404645,138.527771,2346.57373,2208.045959,423.537017,18.19988669,63.87318402,185.8701882,-0.02504372,-0.243582528,0.370481238,60.1181743,0.556417924,11,653.1,653.1,116.9,117,1,74.52365461,0,1.189701645,21.86076773,0.055767265,2.342225114,0,0.027883632,0,0,74.52365461,2,16934.92339,156.7395388,60.05291981,440.6100464,273.3836498,5.43873816,570,2.530275821,0.050337713,9066,0.417434686,83.90948256,0.38635262,1,0.009255403,3.590263835
NP0103405,Koshi,Ilam,Mangsebung,0,171.7479469,87.72799123,26.83186252,159.1768144,871.6496073,21648.04676,1804.003897,2198.611253,1542.282453,1760.083694,1982.239931,165.1866609,807.2762737,188.0489655,2076.579346,1888.53038,467.8168788,24.98966726,61.14314961,115.0195322,0.150771519,-0.070368498,1.083073812,47.55225939,0.27687236,14,635,635,384.9,1329.2,1,93.24815379,0,2.643300903,3.698276873,0.046887821,0.363380612,0,0,0,0,93.24815379,1,15598.04761,90.81941231,1418.004328,7361.64502,324.0750153,25.05535181,475,1.886922208,0.145884433,8335,0.344099403,48.53042,0.200351392,8,0.046579887,1.967391589
NP0103406,Koshi,Ilam,Rong,0,154.3830869,88.07061643,26.80301992,183.8826567,1013.213159,25008.04131,2084.003443,2544.950335,1838.034758,2140.250238,2195.608764,182.967397,747.6979588,219.0489197,1829.515991,1610.467072,350.5178306,24.48471682,63.17772118,175.9339922,0.00992824,-0.139667961,0.185526077,32.18578553,0.208479997,13,660.5,660.5,154.7,154.7,1,96.39827744,0,1.057027274,1.859585019,0.032624299,0.606811954,0,0.045674018,0,0,96.39827744,1,1249.106888,8.090956807,312.276722,531.4979248,460.4820123,13.20988013,731,2.982723183,0.085565591,8356,0.342569948,54.12509989,0.221896035,7,0.045341754,1.453131592
NP0104301,Koshi,Jhapa,Damak,1,70.59138051,87.67655775,26.67292191,205.4911028,1176.200684,27946.78998,2328.899165,2794.005176,2018.91938,2303.731303,2419.429461,201.6191218,136.8966682,97.83308411,220.8132935,122.9802094,21.91104589,1.737081491,31.16953847,197.9367842,-0.08543409,-0.263929574,0.466904192,13.68674674,0.19388694,3,653.3,653.3,189.8,189.8,1,24.61320085,0.014194464,1.802696948,61.51880767,8.94251242,2.824698368,0,0.283889283,0,0,61.51880767,3,64211.42134,909.6212722,54.50884664,199.6217346,561.8786723,29.30461616,2286,7.959593201,0.415130232,28551,2.248734179,404.4544787,3.185564814,5,0.070830177,1.34500307
NP0104302,Koshi,Jhapa,Shivasatakshi,0,144.8895319,87.82063327,26.61207351,189.9480053,1062.769767,25832.92872,2152.74406,2629.684804,1876.365841,2184.482928,2267.404578,188.9503815,123.756668,82,644.4234619,562.4234619,52.72009167,3.415432627,53.96155759,171.9083727,0.032258694,-0.226899085,1.28048651,40.93534786,0.282527988,14,628.9,628.9,155.5,155.5,1,27.04616453,0.03471017,3.373828532,65.35230823,0.867754252,1.527247484,0,1.79798681,0,0,65.35230823,2,54239.12628,374.3481367,51.02457787,208.6877899,699.499279,34.90051505,2094,4.827811022,0.240876719,24913,1.475120764,171.9447891,1.018100304,3,0.02070543,2.127929434
NP0104303,Koshi,Jhapa,Kankai,1,78.76899723,87.90547882,26.64044658,215.6446568,1280.619222,29327.67332,2443.972777,2938.526805,2155.554405,2442.372823,2566.123271,213.8436059,124.5745546,93.52844238,539.3458252,445.8173828,41.29280397,3.284365981,59.38980155,190.6687112,-0.042176646,-0.223883673,0.337982636,27.70834107,0.351767092,15,635,635,384.9,1329.2,1,30.40377022,0,1.018978474,62.20863584,2.725767418,2.840402496,0,0.802445548,0,0,62.20863584,2,31558.85797,400.6507519,44.01514361,139.0383148,412.6145141,41.17048582,1391,5.23828573,0.522673733,15074,1.005452973,191.369708,1.276457754,3,0.03808605,0.32650533
NP0104304,Koshi,Jhapa,Arjundhara,1,109.3979805,87.98421149,26.70451527,199.5465856,1173.936066,27138.33564,2261.52797,2746.811301,2005.831405,2315.299255,2341.710146,195.1425122,175.2777336,117.7294006,456.6659241,338.9365234,47.61760975,3.762609276,45.70743389,192.5791582,-0.066144065,-0.296417977,0.269198896,79.14281992,0.723439496,18,662.1,662.1,139,139,1,42.16280779,0,1.157662624,50.21131937,1.626240353,4.731716281,0,0.110253583,0,0,50.21131937,2,46459.18114,424.6804275,84.01298579,555.2386475,608.5021978,58.79936981,2244,5.562279987,0.537481309,21989,1.550401346,201.000054,1.417212035,22,0.201100604,1.418365678
NP0104305,Koshi,Jhapa,Mechinagar,1,191.7620542,88.1156532,26.6752713,202.7897167,1106.272496,27579.40147,2298.283456,2799.918177,2022.487227,2350.711169,2379.053082,198.2544235,159.2899776,87,672.0652466,585.0652466,64.7047436,2.838524902,42.71375888,174.4268682,0.030594227,-0.313537941,0.308173758,119.2607731,0.621920607,28,653.3,653.3,105.7,105.9,1,44.29312241,0,3.01712849,46.88072914,2.341417422,3.038080771,0,0.429521764,0,0,46.88072914,2,99940.98968,521.1718767,24.76238595,306.9745178,1007.284016,64.56470734,3349,5.252780691,0.33669178,42723,3.285586864,222.791731,1.713366535,35,0.182517861,1.463116868
NP0104306,Koshi,Jhapa,Gauradaha,1,149.3202789,87.70490565,26.5324854,190.8764052,969.75295,25959.1911,2163.265925,2758.763448,1856.579833,2262.308436,2268.098909,189.0082424,89.68878806,71.5,122.8921814,51.3921814,8.448716639,1.245602068,13.62536889,184.5385027,-0.014350763,-0.180790405,0.6091912,61.03436745,0.408748014,10,626.4,626.4,187.7,494.3,1,10.72008663,0,2.064158094,85.11775853,0.663237683,0.92717921,0,0.507579859,0,0,85.11775853,2,43393.57453,290.6073767,87.13569182,278.3399658,597.4659809,39.13567381,1797,4.001238046,0.262092156,17888,1.073523315,119.7961867,0.718940068,3,0.020091042,3.640884489
NP0104307,Koshi,Jhapa,Birtamod,1,77.91035912,87.99391897,26.60871528,204.2451835,1212.661702,27777.34495,2314.778746,2828.84677,2050.734862,2379.712941,2395.33335,199.6111125,112.6355909,91.50769043,143.709671,52.20198059,8.822363326,1.615755113,24.32958127,183.0892521,-0.010335293,-0.191500956,0.440400374,39.45522717,0.506418243,10,630.3,630.3,129.6,129.6,1,16.51046347,0,0.847348825,74.91333932,7.51059186,0.102708949,0,0.115547567,0,0,74.91333932,3,67265.73039,863.3733839,29.63248035,234.1698914,627.2312592,42.31758998,2713,8.050678579,0.543157424,19936,2.129719539,255.883816,2.733551177,5,0.064176318,1.251902971
NP0104308,Koshi,Jhapa,Bhadrapur,1,95.93365601,88.07419329,26.52426237,198.261732,1125.070394,26963.59555,2246.966295,2933.510835,1960.760623,2472.785522,2352.872407,196.0727006,88.21039036,67.06336975,135.6015625,68.53819275,10.64789568,1.775841287,27.79547982,155.8210111,0.050184705,-0.111775643,1.001040543,26.1831822,0.272930099,7,644.1,644.1,60.5,573.5,1,33.55942815,0,2.754878431,56.93415423,4.226233956,0.688719608,0,1.83658562,0,0,56.93415423,2,57131.78862,595.534362,41.01348788,232.0975037,622.4362696,63.94186998,2162,6.488195024,0.666521768,16883,1.453651147,175.9862045,1.515267121,6,0.062543223,2.857147519
NP0104401,Koshi,Jhapa,Kamal,1,104.1654344,87.73506491,26.61516686,197.0796708,1098.55658,26802.83523,2233.569603,2738.859497,1922.762703,2255.11409,2355.589123,196.2990936,115.919492,82.59268188,161.6112366,79.01855469,16.07174213,1.547358594,20.98681993,191.1050019,-0.045426756,-0.231435163,0.449841897,50.60648289,0.485827983,12,628.7,628.7,158.4,158.4,1,19.62607769,0,4.562627143,72.37237237,1.162452775,1.830863121,0,0.445606897,0,0,72.37237237,2,36968.42226,354.9010523,47.15359982,164.4346771,475.9193338,58.74351969,1275,4.568879656,0.563944461,15747,0.957100292,151.1729884,0.918827151,2,0.019200227,2.988301234
NP0104402,Koshi,Jhapa,Buddhashanti,0,79.42961138,88.06590577,26.73245709,193.2317505,1110.04893,26279.51807,2189.959839,2650.377154,1946.971172,2226.407918,2247.579531,187.2982943,259.2144375,134.93396,802.5672607,667.6333008,114.6379825,6.163278762,54.14411304,187.0898792,-0.047314926,-0.380414762,1.42066653,22.62415116,0.284832706,3,653.3,653.3,105.7,105.9,1,66.00101112,0.012639029,1.504044489,28.69059656,1.11223458,2.641557128,0,0.037917088,0,0,66.00101112,2,29532.92263,371.8125032,138.0043114,656.7944946,410.0825733,31.64464272,1107,5.162842499,0.398398559,11884,0.770939749,149.6167461,0.97059489,38,0.478411002,0.816514439
NP0104403,Koshi,Jhapa,Gauriganj,1,100.9574117,87.74825548,26.46446889,198.4552636,943.2388,26989.91585,2249.159654,2902.989151,1942.674352,2404.989204,2335.119217,194.5932681,74.7431575,62,95.26186371,33.26186371,4.665079945,1.065813125,20.00397563,175.8881514,0.0110085,-0.153132437,0.03358454,45.5108361,0.450792422,5,628.7,628.7,158.4,158.4,1,7.055184113,0.009979044,5.219040016,83.56451452,1.307254765,1.157569105,0,1.686458437,0,0,83.56451452,3,27731.37405,274.6838848,90.92253786,271.1254883,393.1891961,37.04941202,1168,3.894604561,0.366980605,11802,0.525317593,116.9007783,0.520335837,3,0.0297155,1.350375904
NP0104404,Koshi,Jhapa,Jhapa,1,93.73297832,87.86488155,26.51086054,198.7778552,1041.594727,27033.7883,2252.815692,2857.654473,1973.855663,2396.21965,2378.345959,198.1954966,83.52117472,70.1043396,104.5992432,34.49490356,5.905013499,0.894844563,19.27001718,192.4352852,-0.032765647,-0.148590326,0.29788352,24.33462738,0.259616496,7,635,635,384.9,1329.2,1,8.831140824,0,1.434116886,86.316584,1.369419884,0.46366185,0,1.585076558,0,0,86.316584,2,27866.87852,297.3006835,62.34201012,261.8083801,445.7627343,50.18517439,1215,4.755665959,0.535405738,15073,0.778950863,160.8078637,0.831031806,1,0.010668604,1.237017692
NP0104405,Koshi,Jhapa,Barhadashi,1,79.98571749,87.9284532,26.53445734,203.0638666,1109.759115,27616.68586,2301.390488,2858.310354,2033.956997,2409.44283,2433.388518,202.7823765,89.39843211,72,133.5462646,61.54626465,9.377629649,1.341132476,26.83630593,186.550893,-0.015628573,-0.136095332,0.136104793,23.37165553,0.292197861,6,630.4,630.4,138.6,381.3,1,12.57657207,0,1.912739092,82.44780598,0.987623453,0.812601575,0,1.262657832,0,0,82.44780598,2,26349.1441,329.4231136,44.06211388,179.305542,334.6123252,23.43957708,1000,4.183400934,0.293047032,10584,0.57667817,132.3236239,0.720976429,1,0.012502232,1.909697242
